reporting_period,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,average_delay_mins,arrival_departure_A,arrival_departure_D,scheduled_charter_C,scheduled_charter_S
202201,2,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,40.0,1,0,0,1
202201,5,0,0,0.0,0.0,0.0,40.0,40.0,20.0,0.0,0.0,0.0,37.0,1,0,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,64.0,1,0,0,1
202201,4,0,0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,37.0,1,0,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,0,1,1,0
202201,8,0,0,0.0,25.0,37.5,12.5,12.5,0.0,12.5,0.0,0.0,25.0,1,0,1,0
202201,18,0,0,44.444444,5.555556,22.222222,0.0,22.222222,5.555556,0.0,0.0,0.0,17.0,1,0,0,1
202201,10,0,0,0.0,40.0,20.0,10.0,10.0,20.0,0.0,0.0,0.0,25.0,0,1,0,1
202201,5,0,0,20.0,20.0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,17.0,1,0,0,1
202201,6,0,0,0.0,50.0,16.666667,0.0,0.0,33.333333,0.0,0.0,0.0,25.0,1,0,0,1
202201,30,0,2,9.375,3.125,43.75,12.5,15.625,9.375,0.0,0.0,0.0,19.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,36.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,25.0,0,1,1,0
202201,3,0,0,0.0,0.0,33.333333,0.0,66.666667,0.0,0.0,0.0,0.0,28.0,0,1,0,1
202201,4,0,0,0.0,25.0,50.0,0.0,0.0,25.0,0.0,0.0,0.0,19.0,1,0,0,1
202201,9,0,0,11.111111,55.555556,11.111111,0.0,11.111111,0.0,11.111111,0.0,0.0,22.0,1,0,1,0
202201,8,0,0,0.0,12.5,62.5,12.5,0.0,12.5,0.0,0.0,0.0,19.0,1,0,1,0
202201,5,0,0,0.0,40.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,44.0,1,0,1,0
202201,3,0,0,0.0,0.0,0.0,66.666667,33.333333,0.0,0.0,0.0,0.0,28.0,1,0,0,1
202201,9,0,0,0.0,11.111111,33.333333,22.222222,33.333333,0.0,0.0,0.0,0.0,18.0,1,0,0,1
202201,3,0,0,0.0,0.0,0.0,33.333333,33.333333,33.333333,0.0,0.0,0.0,44.0,1,0,0,1
202201,3,0,0,0.0,0.0,0.0,0.0,33.333333,66.666667,0.0,0.0,0.0,74.0,1,0,0,1
202201,3,0,0,0.0,33.333333,33.333333,0.0,33.333333,0.0,0.0,0.0,0.0,20.0,0,1,1,0
202201,3,0,0,0.0,66.666667,0.0,0.0,33.333333,0.0,0.0,0.0,0.0,16.0,1,0,0,1
202201,4,0,0,0.0,25.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,34.0,1,0,1,0
202201,5,0,0,0.0,20.0,20.0,40.0,0.0,0.0,0.0,20.0,0.0,50.0,1,0,0,1
202201,3,0,0,0.0,0.0,0.0,33.333333,33.333333,33.333333,0.0,0.0,0.0,55.0,1,0,1,0
202201,2,0,0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,27.0,1,0,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,154.0,1,0,0,1
202201,5,0,0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,20.0,0.0,122.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,884.0,1,0,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,208.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,27.0,1,0,1,0
202201,7,0,0,0.0,28.571429,28.571429,28.571429,0.0,0.0,14.285714,0.0,0.0,26.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,387.0,1,0,0,1
202201,10,0,0,20.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,56.0,1,0,0,1
202201,3,0,0,0.0,33.333333,33.333333,0.0,0.0,33.333333,0.0,0.0,0.0,31.0,1,0,0,1
202201,3,0,0,0.0,0.0,33.333333,0.0,33.333333,33.333333,0.0,0.0,0.0,46.0,1,0,0,1
202201,5,0,0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,17.0,1,0,1,0
202201,3,0,0,0.0,33.333333,33.333333,0.0,0.0,33.333333,0.0,0.0,0.0,22.0,1,0,0,1
202201,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,185.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,21.0,1,0,0,1
202201,6,0,0,16.666667,33.333333,16.666667,16.666667,0.0,0.0,16.666667,0.0,0.0,24.0,1,0,0,1
202201,12,0,0,41.666667,16.666667,25.0,0.0,8.333333,0.0,8.333333,0.0,0.0,17.0,1,0,0,1
202201,10,0,0,0.0,10.0,50.0,20.0,20.0,0.0,0.0,0.0,0.0,16.0,0,1,0,1
202201,2,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,41.0,1,0,0,1
202201,5,0,0,0.0,40.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,22.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,32.0,0,1,1,0
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,27.0,1,0,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,45.0,0,1,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,1,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,45.0,0,1,1,0
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,21.0,1,0,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,45.0,0,1,1,0
202201,2,0,0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,81.0,1,0,1,0
202201,2,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,40.0,1,0,0,1
202201,7,0,0,0.0,28.571429,42.857143,14.285714,0.0,14.285714,0.0,0.0,0.0,17.0,1,0,1,0
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.0,1,0,1,0
202201,3,0,0,0.0,0.0,33.333333,0.0,33.333333,33.333333,0.0,0.0,0.0,43.0,1,0,0,1
202201,11,0,0,9.090909,18.181818,18.181818,18.181818,36.363636,0.0,0.0,0.0,0.0,20.0,1,0,0,1
202201,10,0,0,0.0,20.0,40.0,30.0,0.0,10.0,0.0,0.0,0.0,23.0,1,0,0,1
